id,name,deprecatedInFavorOf,udunitSynonym,parentSi,constantToSi,multiplierToSi,abbreviation,unitType
hectometer,hectometer,,hectometer,meter,,100,hm,
kilometer,kilometer,,kilometer,meter,,1000,km,
megameter,megameter,,megameter,meter,,1000000,Mm,
angstrom,angstrom,,angstrom,meter,,0.0000000001,Å,
inch,inch,,international_inch,meter,,0.0254,in,
Foot_US,Foot_US,,US_survey_foot,meter,,0.3048006,usft,
foot,foot,,international_foot,meter,,0.3048,ft,
Foot_Gold_Coast,Foot_Gold_Coast,,,meter,,0.3047997,gcft,
fathom,fathom,,fathom,meter,,1.8288,,
nauticalMile,nauticalMile,,nautical_mile,meter,,1852,,
yard,yard,,international_yard,meter,,0.9144,yard,
Yard_Indian,Yard_Indian,,,meter,,0.914398530744440774,,
Link_Clarke,Link_Clarke,,,meter,,0.2011661949,,
Yard_Sears,Yard_Sears,yard,,meter,,0.91439841461602867,,
mile,mile,,international_mile,meter,,1609.344,mile,
nanosecond,nanosecond,,nanosecond,second,,0.000000001,nsec,
microsecond,microsecond,,microsecond,second,,0.000001,μsec,
millisecond,millisecond,,millisecond,second,,0.001,msec,
centisecond,centisecond,,centisecond,second,,0.01,csec,
decisecond,decisecond,,decisecond,second,,0.1,dsec,
dekasecond,dekasecond,,dekasecond,second,,10,dasec,
hectosecond,hectosecond,,hectosecond,second,,100,hsec,
kilosecond,kilosecond,,kilosecond,second,,1000,ksec,
megasecond,megasecond,,megasecond,second,,1000000,Msec,
minute,minute,,minute,second,,60,min,
hour,hour,,hour,second,,3600,hr,
kiloliter,kiloliter,,kiloliter,cubicMeter,,1,kL,volume
microliter,microliter,,microliter,cubicMeter,,0.000000001,μl,volume
milliliter,milliliter,,milliliter,cubicMeter,,0.000001,ml,volume
liter,liter,,liter,cubicMeter,,0.001,L,volume
gallon,gallon,,US_liquid_gallon,liter,,3.785412,gal,
quart,quart,,US_liquid_quart,liter,,0.946353,qt,
bushel,bushel,,bushel,liter,,35.23907,b,volume
cubicInch,cubicInch,inchCubed,international_inch^3,liter,,0.01638706,in³,volume
pint,pint,,US_liquid_pint,liter,,0.473176,pint,
meterCubed,meterCubed,,meter^3,meterCubed,,1,m³,volume
centimeterCubed,centimeterCubed,,centimeter^3,meterCubed,,0.000001,cm³,volume
inchCubed,inchCubed,,international_inch^3,liter,,0.01638706,in³,volume
radian,radian,,radian,,,1,rad,angle
degree,degree,,arc_degree,radian,,0.0174532924,º,angle
grad,grad,,,radian,,0.015707,grad,angle
steradian,steradian,,steradian,,,1,sr,angle
megahertz,megahertz,,megahertz,hertz,,1000000,MHz,frequency
kilohertz,kilohertz,,kilohertz,hertz,,1000,KHz,frequency
hertz,hertz,,hertz,,,1,Hz,frequency
